STOP_ID,STOP_NAME,anear_dist,ROADNAME,ABB,ANODE,BNODE,nnear_dist,NODE,relevancy,off_network
1,Jackson & Austin Terminal,38.6513973031,JACKSON BLVD,13469-13378-1,13469,13378,125.592362791,13378.0,74,0
2,5900 W Jackson,29.4165766018,JACKSON BLVD,13469-13378-1,13469,13378,911.395124697,13378.0,74,0
3,Jackson & Menard,25.0163244739,JACKSON BLVD,13469-13378-1,13469,13378,1321.67136486,13378.0,74,0
4,5700 W Jackson,28.5003079507,JACKSON BLVD,13469-13378-1,13469,13378,766.525230987,13469.0,74,0
6,Jackson & Lotus,21.1129450181,JACKSON BLVD,13469-13597-1,13469,13597,890.216509384,13469.0,74,0
7,5351 W Jackson,20.4760118959,JACKSON BLVD,13469-13597-1,13469,13597,1092.67265438,13597.0,74,0
8,Jackson & Lockwood,24.8238850981,JACKSON BLVD,13469-13597-1,13469,13597,653.85545007,13597.0,74,0
9,Jackson & Laramie,30.2788210434,JACKSON BLVD,13721-13597-1,13721,13597,86.997157322,13597.0,74,0
10,Jackson & Leamington,25.7318072566,JACKSON BLVD,13721-13597-1,13721,13597,476.441477856,13597.0,74,0
11,5047 W Jackson,25.7683521927,JACKSON BLVD,13721-13597-1,13721,13597,989.760938987,13597.0,74,0
12,Jackson & Lavergne,47.3240870263,JACKSON BLVD,13721-13597-1,13721,13597,1085.39632213,13721.0,74,0
13,4849 W Jackson,31.7885220663,JACKSON BLVD,13721-13597-1,13721,13597,511.335590984,13721.0,74,0
14,Jackson & Cicero,11.8515715672,JACKSON BLVD,13721-13857-1,13721,13857,86.0115005717,13721.0,74,0
15,Jackson & Kilpatrick,5.71484129261,JACKSON BLVD,13721-13857-1,13721,13857,707.052521338,13721.0,74,0
16,Jackson & Kenton,19.9070486959,JACKSON BLVD,13721-13857-1,13721,13857,1241.82131567,13721.0,74,0
17,Jackson & Kolmar,21.0237159435,JACKSON BLVD,13721-13857-1,13721,13857,1078.87909638,13857.0,74,0
18,Jackson & Kilbourn,24.4742675322,JACKSON BLVD,13721-13857-1,13721,13857,607.15834064,13857.0,74,0
19,Jackson & Kostner,32.2829135281,JACKSON BLVD,13976-13857-1,13976,13857,70.4267826749,13857.0,74,0
20,Jackson & Kildare,34.7567271082,JACKSON BLVD,13976-13857-1,13976,13857,746.690996382,13857.0,74,0
21,Jackson & Keeler,32.6382018237,JACKSON BLVD,13976-13857-1,13976,13857,1271.83974627,13976.0,74,0
22,Jackson & Karlov,25.3371357594,JACKSON BLVD,13976-13857-1,13976,13857,620.303401948,13976.0,77,0
23,Jackson & Pulaski,22.554280686,JACKSON BLVD,13976-14030-1,13976,14030,59.582388972,13976.0,74,0
24,Jackson & Springfield,26.7455220939,JACKSON BLVD,13976-14030-1,13976,14030,615.828273541,14030.0,74,0
