STOP_ID,STOP_NAME,anear_dist,ROADNAME,ABB,ANODE,BNODE,nnear_dist,NODE,relevancy,off_network
027w0010,4201 Winfield/International,353.21684806,WINFIELD RD,8439-8445-1,8439,8445,471.513131114,8439.0,84,1
182n0005,Washington/School,84.2221388017,WASHINGTON ST,8609-8612-1,8609,8612,1706.16416945,8612.0,87,0
183s0005,Washington/School,26.1303275051,WASHINGTON ST,8609-8612-1,8609,8612,1656.97384318,8612.0,87,0
183s0010,Rt. 59/Naperville Garage,1424.85184383,NORMANTOWN RD,7924-7922-1,7924,7922,1480.54790082,7922.0,28,1
184s0005,Washington/School,27.8191641846,WASHINGTON ST,8609-8612-1,8609,8612,1658.98940866,8612.0,87,0
184s0010,Rt. 59/Naperville Garage,1444.82452938,NORMANTOWN RD,7924-7922-1,7924,7922,1498.35264121,7922.0,28,1
185s0005,Washington/School,22.9575281492,WASHINGTON ST,8609-8612-1,8609,8612,1659.99169817,8612.0,87,0
185s0010,Rt. 59/Naperville Garage,1444.40847925,NORMANTOWN RD,7924-7922-1,7924,7922,1498.72733149,7922.0,28,1
204n0285,Oak Davis,6.2976147533,OAK AVE,14526-14525-1,14526,14525,581.825741962,14526.0,75,0
204n0290,Oak Church,8.90546015986,OAK AVE,14526-14525-1,14526,14525,56.7851620185,14526.0,60,0
208e0005,Milwaukee/Golf,52.9281067087,IL 21 / MILWAUKEE AVE,12569-12681-1,12569,12681,197.808794023,12569.0,78,0
208e0010,Golf/Traffic Signal/Golf Milw. Plaza,37.816833352,IL 58 / GOLF RD,12569-12754-1,12569,12754,529.24503205,12569.0,47,0
208e0015,Golf/Traffic Signal/Office Depot,33.0299954824,IL 58 / GOLF RD,12569-12754-1,12569,12754,1137.17810612,12569.0,47,0
208e0020,Golf/Four Flaggs/Jewel,34.7421773444,IL 58 / GOLF RD,12569-12754-1,12569,12754,1598.02187439,12569.0,47,0
208e0025,Golf/Michael Manor,30.1843688779,IL 58 / GOLF RD,12569-12754-1,12569,12754,876.799820613,12754.0,52,0
208e0030,Golf/Washington Rd.,27.6863849033,IL 58 / GOLF RD,12569-12754-1,12569,12754,65.3582359618,12754.0,70,0
208e0035,Golf/Mid-Block/Pace Shelter,26.5680485253,IL 58 / GOLF RD,12914-12754-1,12914,12754,271.056241887,12754.0,47,0
208e0045,Golf/Ozanam/Julie,40.8160098548,IL 58 / GOLF RD,12914-12754-1,12914,12754,1566.93208814,12754.0,47,0
208e0050,Golf/Stacy,28.6765670859,IL 58 / GOLF RD,12914-12754-1,12914,12754,1239.21516944,12914.0,57,0
208e0055,Golf/Oleander,27.3445903513,IL 58 / GOLF RD,12914-12754-1,12914,12754,988.256461005,12914.0,54,0
208e0060,Golf/Shermer,17.7097928176,IL 58 / GOLF RD,12914-12754-1,12914,12754,68.9955915586,12914.0,50,0
208e0070,Golf/Parkview,26.9860135809,IL 58 / GOLF RD,12914-12968-1,12914,12968,592.891255516,12914.0,47,0
208e0075,Golf/Lincoln,36.435597134,IL 58 / GOLF RD,12914-12968-1,12914,12968,670.625457291,12968.0,56,0
208e0080,Golf/Washington St.,38.6172938611,IL 58 / GOLF RD,12914-12968-1,12914,12968,337.405784949,12968.0,47,0
208e0085,Golf/Harlem,40.7336660429,IL 58 / GOLF RD,12968-13066-1,12968,13066,177.098278296,12968.0,53,0
208e0090,Golf/Traffic Signal/Kraft,37.7812316182,IL 58 / GOLF RD,12968-13066-1,12968,13066,787.959067025,12968.0,53,0
208e0095,Golf/Sayre,35.4783710707,IL 58 / GOLF RD,12968-13066-1,12968,13066,565.578906272,13066.0,57,0
208e0100,Golf/Waukegan,42.1188301997,IL 58 / GOLF RD,12968-13066-1,12968,13066,243.947145343,13066.0,47,0
208e0105,Golf/Pace Shelter/Avon,43.5590414254,GOLF RD,13066-13219-1,13066,13219,436.128996637,13066.0,73,0
208e0110,Golf/Normandy,17.9380700641,GOLF RD,13066-13219-1,13066,13219,1750.36831632,13066.0,73,0
208e0115,Golf/Nashville,25.0245751532,GOLF RD,13066-13219-1,13066,13219,1397.64639238,13219.0,73,0
208e0120,Golf/Overlook,33.982969178,GOLF RD,13066-13219-1,13066,13219,77.939871542,13219.0,73,0
208e0125,Golf/Traffic Signal/Glen View Club,19.0410253608,GOLF RD,13219-13435-1,13219,13435,622.028833471,13219.0,73,0
208e0145,Old Orchard Rd./Mid-Block/CTA Sign,31.9225093588,OLD ORCHARD RD,13401-13477-1,13401,13477,700.142899355,13477.0,100,0
208e0147,Old Orchard Rd./Woods Dr.,46.2503639423,OLD ORCHARD RD,13401-13477-1,13401,13477,74.4894331427,13477.0,100,0
208e0160,Old Orchard Rd./Traffic Signal/Hampton Inn,38.701841073,OLD ORCHARD RD,13477-13541-1,13477,13541,72.022087635,13541.0,100,0
208e0165,Old Orchard Rd./Lawler,29.710351209,OLD ORCHARD RD,20646-13616-1,20646,13616,62.0127870606,13616.0,100,0
208e0170,Old Orchard Rd./Lavergne,37.3485353507,OLD ORCHARD RD,13672-13616-1,13672,13616,235.033018776,13616.0,100,0
208e0175,Skokie/Church,15.528788306,CHURCH ST,13682-13739-1,13682,13739,120.224052152,13682.0,80,0
208e0180,Church/Keating,16.4390222619,CHURCH ST,13682-13739-1,13682,13739,282.151901525,13682.0,80,0
208e0185,Church/Kilpatrick,12.9739234113,CHURCH ST,13682-13739-1,13682,13739,497.087610478,13739.0,80,0
208e0190,Church/Niles Center,17.1189420787,CHURCH ST,13739-13879-1,13739,13879,99.3979630265,13739.0,80,0
208e0195,Church/Kenton,17.9083365885,CHURCH ST,13739-13879-1,13739,13879,166.913144921,13739.0,80,0
208e0200,Church/Kolmar,14.559008326,CHURCH ST,13739-13879-1,13739,13879,489.461260236,13739.0,80,0
208e0205,Church/Kilbourn,16.8224678298,CHURCH ST,13739-13879-1,13739,13879,821.831233653,13739.0,80,0
208e0210,Church/Kenneth,20.7797867651,CHURCH ST,13739-13879-1,13739,13879,1139.3349916,13739.0,80,0
208e0215,Church/Kostner,17.0781226044,CHURCH ST,13739-13879-1,13739,13879,1355.42501373,13879.0,80,0
208e0220,Church/Lowell,14.1390971249,CHURCH ST,13739-13879-1,13739,13879,1037.0543889,13879.0,80,0
208e0225,Church/Kildare,18.5086278353,CHURCH ST,13739-13879-1,13739,13879,705.078964355,13879.0,80,0
208e0230,Church/Tripp,18.7522879913,CHURCH ST,13739-13879-1,13739,13879,380.298160101,13879.0,80,0
208e0235,Church/Keeler,13.4172270073,CHURCH ST,13739-13879-1,13739,13879,60.0383246058,13879.0,80,0
208e0240,Church/Kedvale,9.98245273965,CHURCH ST,13919-13879-1,13919,13879,286.457950496,13879.0,80,0
208e0245,Church/Karlov,5.95865416346,CHURCH ST,13919-13879-1,13919,13879,615.547220292,13879.0,80,0
208e0250,Church/Keystone,11.9012293692,CHURCH ST,13919-13879-1,13919,13879,395.001516264,13919.0,80,0
208e0255,Church/Crawford,14.4792214437,CHURCH ST,13919-13879-1,13919,13879,92.991259838,13919.0,80,0
208e0260,Church/Four Winds/Harding,14.237893013,CHURCH ST,13919-14061-1,13919,14061,294.136796979,13919.0,80,0
208e0265,Church/Springfield,20.826972962,CHURCH ST,13919-14061-1,13919,14061,635.79208715,13919.0,80,0
208e0275,Church/Samoset,20.8262378511,CHURCH ST,13919-14061-1,13919,14061,1094.22456767,13919.0,80,0
208e0285,Church/Ridgeway,13.853770074,CHURCH ST,13919-14061-1,13919,14061,1211.19534866,14061.0,80,0
208e0290,Church/Lawndale/Dr. Korczak,20.41565163,CHURCH ST,13919-14061-1,13919,14061,753.065306011,14061.0,80,0
208e0300,Church/Central Park,16.4185569317,CHURCH ST,13919-14061-1,13919,14061,63.8669166105,14061.0,80,0
208e0305,Church/Drake,14.4603370669,CHURCH ST,14061-14098-1,14061,14098,336.587882565,14061.0,80,0
208e0310,Church/Lincolnwood,7.19886385761,CHURCH ST,14061-14098-1,14061,14098,360.908831172,14098.0,80,0
208e0315,Church/East Prairie,13.6830387468,CHURCH ST,14061-14098-1,14061,14098,94.6031572519,14098.0,80,0
208e0320,Church/Ewing,17.7845929831,CHURCH ST,14147-14098-1,14147,14098,430.22499883,14098.0,80,0
208e0330,Golf/Harms,25.7374784149,GOLF RD,13435-13478-1,13435,13478,134.317933543,13435.0,73,0
208e0335,Golf/Woods Dr.,25.8071516873,GOLF RD,13478-13530-1,13478,13530,25.8546693972,13478.0,73,0
208e0340,Golf/Lockwood,29.0350532568,GOLF RD,13478-13530-1,13478,13530,43.3103344872,13530.0,73,0
208e0345,Golf/Terminal,21.1186992695,GOLF RD,13615-13530-1,13615,13530,297.697597461,13530.0,73,0
208e0350,Golf/Laramie,18.458086708,GOLF RD,13615-13530-1,13615,13530,647.012961382,13530.0,73,0
208e0355,Golf/Leamington,14.7815244415,GOLF RD,13615-13530-1,13615,13530,674.183108242,13615.0,73,0
208e0360,Golf/Le Claire,11.2688881983,GOLF RD,13615-13530-1,13615,13530,364.225346541,13615.0,73,0
208e0365,Golf/Lawler,20.6715315649,GOLF RD,13615-13530-1,13615,13530,33.9759107918,13615.0,73,0
208e0370,Golf/Lavergne,139.137100587,GOLF RD,13690-24068-1,13690,24068,153.243385505,24068.0,73,0
208w0005,Golf/Milwaukee,33.0240990639,IL 21 / MILWAUKEE AVE,12569-12681-1,12569,12681,157.511532316,12569.0,78,0
208w0015,Golf/Traffic Signal/Office Depot,34.7797282389,IL 58 / GOLF RD,12569-12754-1,12569,12754,1284.56275248,12569.0,47,0
208w0025,Golf/Michael Manor,26.2334593294,IL 58 / GOLF RD,12569-12754-1,12569,12754,792.257067644,12754.0,52,0
208w0030,Golf/Washington,26.1811714953,IL 58 / GOLF RD,12914-12754-1,12914,12754,63.8031818564,12754.0,47,0
208w0045,Golf/Julie/Ozanam,27.4527655725,IL 58 / GOLF RD,12914-12754-1,12914,12754,1647.96300804,12754.0,47,0
208w0050,Golf/Stacy,27.9163685723,IL 58 / GOLF RD,12914-12754-1,12914,12754,1194.10688713,12914.0,57,0
208w0055,Golf/Oleander,26.679085871,IL 58 / GOLF RD,12914-12754-1,12914,12754,891.952717407,12914.0,54,0
208w0060,Golf/Shermer,26.1884169781,IL 58 / GOLF RD,12914-12968-1,12914,12968,72.4809094434,12914.0,50,0
208w0065,Golf/Elm St.,27.7897798219,IL 58 / GOLF RD,12914-12968-1,12914,12968,287.694911862,12914.0,58,0
208w0070,Golf/Parkview,28.1515688267,IL 58 / GOLF RD,12914-12968-1,12914,12968,617.0910526,12914.0,47,0
208w0075,Golf/Lincoln,40.1988345485,IL 58 / GOLF RD,12914-12968-1,12914,12968,629.781863072,12968.0,56,0
208w0080,Golf/Washington,45.6728498876,IL 58 / GOLF RD,12914-12968-1,12914,12968,293.463905578,12968.0,47,0
208w0085,Golf/Harlem,45.0441979771,IL 58 / GOLF RD,12968-13066-1,12968,13066,118.333804807,12968.0,53,0
208w0090,Golf/Traffic Signal/Kraft,41.9944930411,IL 58 / GOLF RD,12968-13066-1,12968,13066,862.858879715,13066.0,53,0
208w0095,Golf/Sayre,46.9713788646,IL 58 / GOLF RD,12968-13066-1,12968,13066,516.578709233,13066.0,57,0
208w0100,Golf/Waukegan,40.4424264572,IL 58 / GOLF RD,12968-13066-1,12968,13066,191.022629722,13066.0,47,0
208w0105,Golf/Pace Sign/Avon,44.9217825145,GOLF RD,13066-13219-1,13066,13219,515.481990999,13066.0,73,0
208w0110,Golf/Normandy,16.0686244802,GOLF RD,13066-13219-1,13066,13219,1792.31194796,13066.0,73,0
208w0115,Golf/Nashville,11.5520862145,GOLF RD,13066-13219-1,13066,13219,1327.86156717,13219.0,73,0
208w0120,Golf/Overlook,16.8593050866,GOLF RD,13219-13435-1,13219,13435,44.686357219,13219.0,73,0
208w0125,Golf/Traffic Signal/Glen View Club,21.4100454703,GOLF RD,13219-13435-1,13219,13435,734.879109803,13219.0,73,0
208w0145,Skokie Courthouse,232.916168301,OLD ORCHARD RD,13401-13477-1,13401,13477,713.445604959,13401.0,26,1
208w0153,Old Orchard Rd./Woods Dr.,8.6669593131,OLD ORCHARD RD,13477-13541-1,13477,13541,62.5720052559,13477.0,100,0
208w0160,Old Orchard Rd./Lockwood,9.48116857278,OLD ORCHARD RD,13477-13541-1,13477,13541,288.64993349,13541.0,100,0
208w0165,Old Orchard Rd./Traffic Signal/Hampton Inn,19.0616108804,OLD ORCHARD RD,13541-20646-1,13541,20646,59.040630587,13541.0,100,0
208w0170,Old Orchard Rd./Lawler,35.560432421,OLD ORCHARD RD,13672-13616-1,13672,13616,94.4000782399,13616.0,100,0
208w0175,Church/Skokie,15.179593119,CHURCH ST,13682-13739-1,13682,13739,70.9531002272,13682.0,80,0
208w0180,Church/Keating,15.4865290874,CHURCH ST,13682-13739-1,13682,13739,379.192752388,13682.0,80,0
208w0185,Church/Kilpatrick,13.5024554259,CHURCH ST,13682-13739-1,13682,13739,394.020338721,13739.0,80,0
208w0187,Church/Knox,19.4004385155,CHURCH ST,13682-13739-1,13682,13739,90.1027088458,13739.0,80,0
208w0190,Church/Niles Center,15.7199209585,CHURCH ST,13739-13879-1,13739,13879,91.3509879028,13739.0,80,0
208w0200,Church/Kolmar,12.6182070247,CHURCH ST,13739-13879-1,13739,13879,647.207545945,13739.0,80,0
208w0205,Church/Kilbourn,13.3912655206,CHURCH ST,13739-13879-1,13739,13879,961.540631664,13739.0,80,0
208w0210,Church/Kenneth,14.2296567213,CHURCH ST,13739-13879-1,13739,13879,1234.48058858,13739.0,80,0
